%  columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst fitness function value, further objective values of best" (startseed=212616, 2014/06/24 16:47:19.17)
1 8 4.858895e+00 1.030244e+00 -2.245166782305340725e-10 -2.869145698791144266e-27 -8.224752651301133608e-95 -7.784665817521875579e-305 0.438963
2 15 4.149099e+00 1.090514e+00 -2.245166782305340725e-10 -1.480932572645193581e-27 -1.207999350743722621e-202 -0.000000000000000000e+00 0.438963
3 22 4.193133e+00 1.309320e+00 -7.486310291692906001e-09 -7.486310291692906001e-09 -3.249244192835471536e-90 -3.412034069959901395e-190 0.438963
4 29 3.456608e+00 1.316696e+00 -8.409691431348388049e-09 -8.409691431348388049e-09 -2.230096687817645469e-25 -6.988871366277329862e-119 0.438963
5 36 2.559980e+00 1.285592e+00 -8.409691431348388049e-09 -4.021696362514405504e-15 -7.649762205205999919e-37 -2.493419711037867018e-172 0.438963
6 43 2.236887e+00 1.234247e+00 -8.409691431348388049e-09 -2.948225296149567320e-09 -3.229207758199215174e-11 -3.258550232287008992e-29 0.438963
7 50 1.890301e+00 1.219859e+00 -8.409691431348388049e-09 -5.386059641676279401e-09 -3.158134340135476771e-13 -2.813731408055108759e-54 0.438963
8 57 1.699715e+00 1.212849e+00 -3.412712838980920073e-08 -3.412712838980920073e-08 -1.848694925071619439e-09 -2.244398160722766952e-18 0.438963
9 64 1.365725e+00 1.228373e+00 -3.412712838980920073e-08 -2.421256169653396176e-08 -6.257852001362733398e-09 -4.308640560973849752e-19 0.438963
10 71 1.095343e+00 1.246821e+00 -5.933173205996981233e-08 -5.933173205996981233e-08 -1.921940029552300914e-09 -7.405930513142294621e-16 0.438963
11 78 9.792307e-01 1.333622e+00 -9.871660145602626485e-08 -9.871660145602626485e-08 -2.176850214143778122e-08 -2.286510761383160053e-10 0.438963
12 85 1.050955e+00 1.320717e+00 -9.871660145602626485e-08 -4.482143029561262542e-08 -2.513818215881150922e-08 -6.946015088528894657e-09 0.438963
13 92 1.136675e+00 1.352186e+00 -9.871660145602626485e-08 -6.845539627740088847e-08 -1.199916143656440620e-08 -2.587401617344680630e-11 0.438963
14 99 1.093194e+00 1.381188e+00 -9.871660145602626485e-08 -1.678585677657225940e-08 -8.264352166306305059e-09 -7.605416515697595174e-14 0.438963
15 106 9.911058e-01 1.257699e+00 -9.871660145602626485e-08 -2.204323783894495756e-08 -2.567236935136495361e-10 -7.032358240572855946e-12 0.438963
16 113 1.139445e+00 1.353440e+00 -9.871660145602626485e-08 -9.801114683440474168e-09 -1.816383527630561914e-09 -1.133644407391761829e-10 0.438963
17 120 1.227936e+00 1.535067e+00 -9.871660145602626485e-08 -2.003035948745010357e-08 -2.825828716656300462e-10 -2.986972888486844060e-14 0.438963
18 127 1.168501e+00 1.797130e+00 -9.871660145602626485e-08 -3.691121334706772393e-08 -9.173890698675725058e-09 -5.726687140034789851e-10 0.438963
19 134 9.984829e-01 1.743881e+00 -9.871660145602626485e-08 -7.076007268870645149e-08 -2.546007460853478501e-08 -9.929517522242612883e-12 0.438963
20 141 8.210827e-01 1.825525e+00 -9.871660145602626485e-08 -5.885403450027741474e-08 -2.101494324475623328e-08 -2.878661198026485233e-09 0.438963
21 148 8.582244e-01 1.672003e+00 -1.070387782587457470e-07 -1.070387782587457470e-07 -2.263734069896287488e-08 -4.983481071714471045e-10 0.438963
22 155 7.027537e-01 1.595732e+00 -1.070387782587457470e-07 -8.411505539458395579e-08 -2.114942171165794614e-08 -1.472000811455954649e-08 0.438963
23 162 7.172939e-01 1.790954e+00 -1.070387782587457470e-07 -6.890598902520491610e-08 -3.748137005059919599e-08 -6.947255029631140358e-10 0.438963
24 169 9.376361e-01 2.469203e+00 -1.070387782587457470e-07 -8.878215857791321367e-08 -5.329100643950265793e-08 -5.170501139319420109e-11 0.438963
25 176 9.094990e-01 2.554263e+00 -1.070387782587457470e-07 -4.293921057974446688e-08 -1.397095411230174744e-08 -6.754387021552848421e-10 0.438963
26 183 9.455415e-01 2.672263e+00 -1.070387782587457470e-07 -5.174623044153684759e-08 -3.857769743524436354e-09 -1.655149757967188997e-11 0.438963
27 190 8.160002e-01 2.598729e+00 -1.070387782587457470e-07 -1.936674219255545507e-08 -1.830801250770050671e-09 -5.041082921483658685e-13 0.438963
28 197 7.066818e-01 2.483380e+00 -1.070387782587457470e-07 -9.836319910825769212e-08 -1.993642605945571827e-08 -8.639861883309397928e-10 0.438963
29 204 6.510339e-01 2.248073e+00 -1.070387782587457470e-07 -6.425257240876463608e-08 -4.279005123150265527e-08 -2.568146938616462764e-12 0.438963
30 211 5.807025e-01 2.219954e+00 -1.070387782587457470e-07 -9.509621282725649620e-08 -5.477225224969978394e-08 -1.367238827003358531e-08 0.438963
31 218 6.051676e-01 2.633431e+00 -1.115633334902800818e-07 -1.115633334902800818e-07 -4.781043232558373661e-08 -8.566442533089035214e-09 0.438963
32 225 8.216515e-01 3.969473e+00 -1.122202051097729529e-07 -1.122202051097729529e-07 -7.534330458680935731e-08 -6.454136541298586480e-08 0.438963
33 232 7.718585e-01 3.997624e+00 -1.122202051097729529e-07 -5.138173155459821041e-08 -3.619271395194654379e-08 -4.388931936405098290e-14 0.438963
34 239 7.197817e-01 3.829019e+00 -1.122202051097729529e-07 -1.014686008143734331e-07 -2.307965137189855726e-08 -1.857951696090780515e-09 0.438963
35 246 6.860207e-01 4.024202e+00 -1.122202051097729529e-07 -6.472131892679211375e-08 -3.184323768788662880e-08 -1.640754437516862111e-08 0.438963
36 253 7.342794e-01 3.996738e+00 -1.122202051097729529e-07 -7.684841635894841061e-08 -1.268358171774004989e-08 -1.470806917083522606e-09 0.438963
37 260 7.821359e-01 4.620016e+00 -1.122202051097729529e-07 -5.490742032437877610e-08 -3.340415423836896336e-08 -4.970237648407838278e-09 0.438963
